v	ID	###	Noun base	Verb base	PROPERTIES	group	trans?	object	argument	locative argument	weak / optional argument	Examples: Positive	Examples: Negative + Question	NEGATIVE examples: should NOT match	Noun examples	GROUPS + COMMENTS + NOTES		DISTRACTORS
	26			altistaa		MUUTOS?	Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Allative			Hän altisti filmin valolle.						
					*CONCEPTS*													
	27		altistus	altistua		MUUTOS?	Intransitive	—	HEAD:Noun + Case:Allative			Vanhus altistuu taudille.	Vanhus saa altistua influenssalle.					
					*CONCEPTS*													
	28		anomus	anoa			Transitive	HEAD:Noun + Case:Partitive	HEAD:Noun + Case:Ablative			Anon apua sinulta ensi viikolla. // avun anominen kaverilta.						
					*CONCEPTS*													
	29			anoa			Transitive	HEAD:Noun + Case:Partitive	POS:Verb + INF_FORM:Inf-Ma + Case:Illative			Anoin häntä lopettamaan.						
					*CONCEPTS*													
	30			antaa			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Allative / HEAD:Noun + Case:Illative			Annoin hänelle sanakirjan.	Hän antaa rahaa hyväntekeväisyyteen.	Hän hänelle antaa rahaa hyväntekeväisyyttä varten.		(? $$$ anna mennä)		
					*CONCEPTS*				Syntax-allative-omistaminen									
	32			antaa			Transitive	! HEAD:Noun + Case:Objective	! Base:pois			Annoin vanhat kengät pois.						
					*CONCEPTS*													
	34		arvostus	arvostaa			Transitive	HEAD:Noun + Case:Partitive				Arvostan häntä suuresti.						
					*CONCEPTS*													
	35			asennoitua			Intransitive	—	HEAD:Noun + Case:Illative			Hän asennoituu myönteisesti kaikkeen uuteen.						
					*CONCEPTS*													
	36		asennus	asentaa			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Illative			Asensin taloon sähkölämmityksen.						
					*CONCEPTS*													
	37		asetus	asettaa			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			Asetin astiat kaappiin.	Asetin astiat hyllylle.					
					*CONCEPTS*													
	38	4.8		asettua			Intransitive	—	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			Pojat asettuivat riviin.  //  Pojat asettuivat paikoilleen.	Asettukaa riviin!  //  Asettukaa paikoillenne!					
					*CONCEPTS*													
	39			asettua			Intransitive	—	POS:Verb + INF_FORM:Inf-Ma + Case:Illative			Hän asettuu aina istumaan eturiviin.						
					*CONCEPTS*													
	40		askel?	astua			Intransitive	—	HEAD:Noun + Case:Elative / HEAD:Noun + Case:Ablative	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative		Hän astui olohuoneesta eteiseen.	Hän astui pysäkiltä laiturille.					
					*CONCEPTS*													
	41		asumus	asua			Intransitive	—	HEAD:Noun + Case:Inessive / HEAD:Noun + Case:Adessive			Asumme Helsingissä.	Asumme Vantaalla.					
					*CONCEPTS*													
	42		apu	auttaa			Transitive	HEAD:Noun + Case:Partitive	HEAD:Noun + Case:Inessive			Hän auttaa minua tässä työssä.	Hän auttoi minua eilen.					[ Part Allat Gen ] [ Illat Gen ]
					*CONCEPTS*													
	43			auttaa			Intransitive	—	HEAD:Noun + Case:Illative			Aspiriini auttaa päänsärkyyn.						
					*CONCEPTS*													
	44			auttaa			Transitive	! HEAD:Noun + Case:Partitive	! POS:Verb + INF_FORM:Inf-Ma + Case:Illative			Hän auttoi minua leipomaan leipää.						
					*CONCEPTS*													
	45			auttaa			Transitive	! HEAD:Noun + Case:Objective	! HEAD:Noun + Case:Elative			Palomies auttoi hänet ojasta.						
					*CONCEPTS*													
			avaus	avata			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Allative			Keskustelu avataan yleisölle // avata sydämensä kissalle // Tie avattiin liikenteelle						
					*CONCEPTS*													
			sulku	sulkea			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Elative / HEAD:Noun + Case:Ablative			Odottakaa sulkematta puhelinta // Kadonnut puu sulki häneltä tien // hänen oli tarkoitus sulkea hevonen kilpailusta // sulkea työ pois mielestään // sulkea pakanat kirkon sakramenttiyhteydestä				smt wrong with the verb "sulkea"? (many interpretations "sulkia")  : NEW FAIL		
					*CONCEPTS*													
	46		avustus	avustaa			Transitive	HEAD:Noun + Case:Partitive				Ruotsi avusti Suomea sodan aikana.						
					*CONCEPTS*													
	47		boikotti	boikotoida			Transitive	HEAD:Noun + Case:Partitive				Kauppaliitto boikotoi yhtä jäsenmaata.						
					*CONCEPTS*													
v	48		buuaus	buuata		REAKTIO?	Intransitive	—	HEAD:Noun + Case:Allative			Yleisö buuasi esitykselle. //  Buuasin presidentille.						
					*CONCEPTS*													
	49		edellytys	edellyttää			Transitive	HEAD:Noun + Case:Partitive	HEAD:Noun + Case:Ablative			He edellyttävät työnhakijalta ruotsin kielen taitoa.						
					*CONCEPTS*				Syntax-ablatiivi-lähde									
	50			edeltää			Transitive	HEAD:Noun + Case:Partitive				Sadetta edelsi kova tuuli.						
					*CONCEPTS*													
	51		edistys	edistää			Transitive	HEAD:Noun + Case:Partitive				Hyvä muisti edistää oppimista.						
					*CONCEPTS*													
	52		edustus	edustaa			Transitive	HEAD:Noun + Case:Partitive				Ulkoministeri edusti Suomea hyvin.						
					*CONCEPTS*													
	53			edustaa			Transitive	HEAD:Noun + Case:Partitive	HEAD:Noun + Case:Inessive / HEAD:Noun + Case:Adessive			Hän edustaa Suomea olympialaisissa.	Hän edustaa Suomea Venäjällä.					
					*CONCEPTS*													
	54		ehdotus	ehdottaa			Transitive	HEAD:Noun + Case:Partitive				Tuula ehdottaa Timoa.						
					*CONCEPTS*													
	55			ehdottaa			Transitive	HEAD:Noun + Case:Partitive	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			Ehdotan teille pitkää lomaa.	Ehdotan virkaan Mäkelää.					
					*CONCEPTS*													
	56			ehdottaa			Transitive	HEAD:Noun + Case:Partitive	HEAD:Noun-ONLY + Case:Translative			Ehdotan Timoa puheenjohtajaksi. // Ehdotan siskoani puheenjohtajaksi // miehen ehdottaminen puheenjohtajaksi				(= ehdottaa / epäillä / sanoa)		
					*CONCEPTS*													
	57			ehdottaa			Transitive	että-lause				Ehdotan, että odotamme vielä 5 minuuttia.						
					*CONCEPTS*													
	58			ehtiä			Intransitive	—	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			ehdin töihin // ehdin ajoissa junalle				adverb "ajoissa" breaks pattern		
					*CONCEPTS*													
	59	4.8		ehtiä		MODAL	Intransitive	—	POS:Verb + INF_FORM:Inf-A + Case:Lative / POS:Verb + INF_FORM:Inf-Ma + Case:Illative			Ehdin saada työn valmiiksi.  //  Ehdin saamaan työn valmiiksi.						
					*CONCEPTS*													
	61			eläytyä			Intransitive	—	HEAD:Noun + Case:Illative			Empaattinen ihminen osaa eläytyä toisten tunteisiin.						
					*CONCEPTS*													
	60		elo	elää			Intransitive	—	HEAD:Noun + Case:Inessive / HEAD:Noun + Case:Adessive			Kilpikonna elää vedessä.	Kilpikonnia elää vedessä ja maalla.					
					*CONCEPTS*													
	62		ennätys	ennättää			Intransitive	—	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			Juoksija ennätti maaliin ennen muita // Komission jäsen ennätti edelleni				(= ehtiä / ennättää)		
					*CONCEPTS*													
	63			ennättää			Intransitive	—	POS:Verb + INF_FORM:Inf-A + Case:Lative / POS:Verb + INF_FORM:Inf-Ma + Case:Illative			Ennätin saada työn valmiiksi.  //  Ennätin saamaan työn valmiiksi.						
					*CONCEPTS*													
	64		epäilys	epäillä			Transitive	HEAD:Noun + Case:Partitive	HEAD:Noun + Case:Elative			He epäilevät häntä rikoksesta.	Poliisi epäilee häntä.					
					*CONCEPTS*													
	65			epäillä			Transitive	HEAD:Noun + Case:Partitive	HEAD:Noun-ONLY + Case:Translative			Poliisi epäilee miestä syylliseksi. // miehen epäileminen syylliseksi				(= ehdottaa / epäillä / sanoa)		
					*CONCEPTS*													
	66			epäillä			Transitive	että-lause				Epäilen, että tämä työ epäonnistuu.						
					*CONCEPTS*													
	67			epäonnistua			Intransitive	—	HEAD:Noun + Case:Inessive			Epäonnistuin tentissä.						
					*CONCEPTS*													
	68		epäröinti	epäröidä			Transitive	POS:Verb + INF_FORM:Inf-A + Case:Lative				Hän epäröi mennä johtajan puheille.						
					*CONCEPTS*													
	69		erehdys	erehtyä			Intransitive	—	HEAD:Noun + Case:Inessive			Erehdyin tässä asiassa.				(= haksahtaa / erehtyä)		
					*CONCEPTS*													
	70			erehtyä			Intransitive	—	HEAD:Noun + Case:Elative			Asiakas erehtyi ovesta.						
					*CONCEPTS*													
	71			erehtyä			Intransitive	—	POS:Verb + INF_FORM:Inf-Ma + Case:Illative			Erehdyin menemään väärään huoneeseen.	mennä					
					*CONCEPTS*													
	72			erikoistua			Intransitive	—	HEAD:Noun + Case:Illative			Hän on erikoistunut kirurgiaan.						
					*CONCEPTS*													
	73			erikoistua			Intransitive	—	HEAD:Noun-ONLY + Case:Translative			Erikoistun lastenlääkäriksi.	Aion erikoistua lastenlääkäriksi.					
					*CONCEPTS*													
	74			erikoistua			Intransitive	—	POS:Verb + INF_FORM:Inf-Ma + Case:Illative			Tehdas on erikoistunut valmistamaan saunakiukaita.						
					*CONCEPTS*													
	75		ero	erota			Intransitive	—	HEAD:Noun + Case:Elative			Hän erosi työstä viime kuussa.  //  Hän erosi miehestään viime vuonna.				Hän erosi: "erosi" ambiguous here (wrong) , noun ero+POSS vs verb		
					*CONCEPTS*													
	76			erota			Intransitive	—	HEAD:Noun + Case:Inessive / HEAD:Noun + Case:Adessive			He erosivat sovussa // Tulokset erosivat parilla pisteellä						
					*CONCEPTS*													
	77		erotus	erottaa			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Elative			Rehtori erotti oppilaan koulusta.						
					*CONCEPTS*													
	78			erottua			Intransitive	—	HEAD:Noun + Case:Elative			Hän erottui joukosta.						
					*CONCEPTS*													
	79		esitys	esiintyä			Intransitive	—	HEAD:Noun + Case:Inessive / HEAD:Noun + Case:Adessive			Hän esiintyy televisiossa.  //  Hän esiintyy tanssilavalla.						
					*CONCEPTS*													
	80		esittely	esitellä			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Allative			Esittelen ystävän sinulle.	Voit esitellä ystävän minulle.					
					*CONCEPTS*				Syntax-allatiivi-kommunikaatio									
	81		esto	estää		??? need ! ?	Transitive	! HEAD:Noun + Case:Partitive	! POS:Verb + INF_FORM:Inf-Ma + Case:Elative			Sade esti minua menemästä ulos.						
					*CONCEPTS*													
	81			estää			Transitive	HEAD:Noun + Case:Objective				Hän esti onnettomuuden.						
					*CONCEPTS*													
	82		etsintä	etsiä			Transitive	HEAD:Noun + Case:Partitive	HEAD:Noun + Case:Elative / HEAD:Noun + Case:Ablative			Etsin kirjaa kaapista.  //  Etsin kirjaa hyllyltä.				"etsin" ambiguous N (etsin) vs. V ; "kirjaa" ambiguous N vs. V (kirjata)		
					*CONCEPTS*													
	83		evakuointi	evakuoida			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Elative / HEAD:Noun + Case:Ablative			Valtio evakuoi ihmiset maasta.						
					*CONCEPTS*													
	84			evakuoida			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			Valtio evakuoi kaikki ihmiset naapurimaahan.	Valtio evakuoi kaikki ihmiset Tampereelle.					
					*CONCEPTS*													
	85		haaste	haastaa			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Illative			Haastan hänet oikeuteen.						
					*CONCEPTS*													
	86		haastattelu	haastatella			Transitive	HEAD:Noun + Case:Partitive				Toimittaja haastatteli pääministeriä.						
					*CONCEPTS*													
	87			haastatella			Transitive	HEAD:Noun + Case:Partitive	HEAD:Noun + Case:Elative			Toimittaja haastatteli pääministeriä asiasta. // pääministerin haastatteleminen  asiasta.	Asiasta haastateltiin presidenttiä.					
					*CONCEPTS*													
	88		haave	haaveilla			Intransitive	—	HEAD:Noun + Case:Elative			Liisa haaveilee Pekasta. // Liisa haaveilee matkustamisesta.						
					*CONCEPTS*													
	89		haaveilu	haaveilla			Intransitive	—	HEAD:Noun + Case:Elative			Äiti haaveili etelänmatkasta.						
					*CONCEPTS*													
	90		haava	haavoittaa			Transitive	HEAD:Noun + Case:Partitive				Sanat haavoittivat minua. // Veitsi haavoitti minua						
					*CONCEPTS*													
	91			haavoittaa			Transitive	HEAD:Noun + Case:Partitive	HEAD:Noun + Case:Illative			Puukko haavoitti häntä sormeen.						
					*CONCEPTS*													
	92			haavoittaa			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Inessive / HEAD:Noun + Case:Adessive			Sotilas haavoitti vihollista veitsellä.						
					*CONCEPTS*													
	93			haavoittua			Intransitive	—	HEAD:Noun + Case:Illative			Hän haavoittui jalkaan.						
					*CONCEPTS*													
	94			haavoittua			Intransitive	—	HEAD:Noun + Case:Elative			Hän haavoittui luodeista.						
					*CONCEPTS*													
	95			haavoittua			Intransitive	—	HEAD:Noun + Case:Inessive / HEAD:Noun + Case:Adessive			Isoisä haavoittui talvisodassa.						
					*CONCEPTS*													
	96			haikailla			Transitive	HEAD:Noun + Case:Partitive			HEAD:Noun + Case:Illative	Minä haikailen romantiikkaa elämääni.						
					*CONCEPTS*													
	97		haikailu	haikailla			Intransitive	—	HEAD:PostPosition + Base:perään + Gov_Case:Genitive			Minä haikailen rakkauden perään.						
					*CONCEPTS*													
	103	2.4	haju	haista		AISTI	Intransitive	—	HEAD:Noun + Case:Ablative / HEAD:Noun + Case:Allative / POS:Adjective + Case:Ablative / POS:Adjective + Case:Allative			Lenkkeilijä haisi hieltä // Pilaantunut ruoka haisee pahalle						
					*CONCEPTS*				Syntax-ablatiivi-aisti									
	104		haitta	haitata			Transitive	HEAD:Noun + Case:Partitive				Haju haittaa minua.						
					*CONCEPTS*													
	105		(hajonta)	hajota			Intransitive	—	HEAD:Noun-ONLY + Case:Translative			Maljakko hajosi sirpaleiksi.						
					*CONCEPTS*													
	106			hajottaa			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Elative / HEAD:Noun + Case:Ablative									
					*CONCEPTS*													
	107			hajottaa			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun-ONLY + Case:Translative / HEAD:Noun + Case:Illative			Lapsi hajotti maljakon palasiksi.  //  Lapsi hajotti maljakon moneen osaan.						
					*CONCEPTS*													
	108		hakemus	hakea			Transitive	HEAD:Noun + Case:Partitive				Haen uutta viisumia.				('apply for')		
					*CONCEPTS*													
	109		hakemus	hakea			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Elative / HEAD:Noun + Case:Ablative	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative		Hain paketin postista. // äiti hakee paketin postista kotiin						
					*CONCEPTS*													
	111		haku	hakea			Transitive	HEAD:Noun + Case:Objective	POS:Verb + INF_FORM:Inf-Ma + Case:Illative			Haen Liisan syömään.						
					*CONCEPTS*													
	112			hakeutua			Intransitive	—	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			Hän hakeutui hoitoon sairaalaan  //  He hakeutuivat opetusalalle.						
					*CONCEPTS*													
	113		haksahdus	haksahtaa			Intransitive	—	HEAD:Noun + Case:Inessive			Hän haksahti laskuissaan pahasti.				(= haksahtaa / erehtyä)		
					*CONCEPTS*													
	114			haksahtaa			Intransitive	—	POS:Verb + INF_FORM:Inf-Ma + Case:Illative			Haksahdin ottamaan työn vastaan.						
					*CONCEPTS*													
	115		halaus	halata			Transitive	HEAD:Noun + Case:Partitive				Hän halasi minua.						
					*CONCEPTS*													
	116		halkaisu	halkaista			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Illative			Halkaisin omenan kahteen osaan.						
					*CONCEPTS*													
	117			halkaista			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun-ONLY + Case:Translative			Hän halkaisi melonin palasiksi.						
					*CONCEPTS*													
	118		halu	haluta		MODAL	Transitive	POS:Verb + INF_FORM:Inf-A + Case:Lative / HEAD:Noun + Case:Objective				Haluan oppia suomea. // Pekka haluaa uuden asunnon.		haluan ravintolaan // haluan oppimaan suomea (different meaning) // haluan luistelemaan				
					*CONCEPTS*													
	119			haluttaa			Transitive	HEAD:Noun + Case:Partitive	Subject=POS:Verb + INF_FORM:Inf-A + Case:Lative			Minua haluttaa lähteä elokuviin.						
					*CONCEPTS*			Syntax-tunnekausatiivi-object										
	120		halveksunta	halveksia			Transitive	HEAD:Noun + Case:Partitive				Hän halveksii minua.						
					*CONCEPTS*													
	109			hankkia			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Elative / HEAD:Noun + Case:Ablative	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative								
					*CONCEPTS*													
	124			harjoitella			Transitive	HEAD:Noun + Case:Objective				Harjoittelen tempun.	Olen harjoitellut sitä monta vuotta.					
					*CONCEPTS*													
	125		harjoitus	harjoitella			Intransitive		POS:Verb + INF_FORM:Inf-Ma + Case:Illative			Lapsi harjoittelee kävelemään/kävelemistä	Lentäjät harjoittelevat simulaattorissa			(can't invent example with object + Vmaan)		
					*CONCEPTS*													
	126		harkinta	harkita			Transitive	HEAD:Noun + Case:Partitive				Harkitsen asiaa.						
					*CONCEPTS*													
	127			harmittaa			Transitive	HEAD:Noun + Case:Partitive				Minua harmittaa.						
					*CONCEPTS*			Syntax-tunnekausatiivi-object										
	128		harmi	harmittaa			Transitive	HEAD:Noun + Case:Partitive	Subject=POS:Verb + INF_FORM:Inf-A + Case:Lative			Minua harmittaa istua sisällä kauniina kesäpäivänä.						
					*CONCEPTS*			Syntax-tunnekausatiivi-object										
	130		harrastus	harrastaa		(+minen)	Transitive	HEAD:Noun + Case:Partitive				Hän harrastaa jalkapalloa. // Hän harrastaa lukemista.						
					*CONCEPTS*													
	134			haudata			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			Hän hautasi sotakirveensä. // minä hautasin sotakirveeni.						
					*CONCEPTS*													
	135			haukkua			Transitive	HEAD:Noun + Case:Partitive				Koira haukkui postinkantajaa.						
					*CONCEPTS*													
	136			haukkua			Transitive	HEAD:Noun + Case:Partitive	HEAD:Noun-ONLY + Case:Translative			Hän haukkui minua laiskaksi.						
					*CONCEPTS*													
	137			hautautua			Intransitive	—	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			Hän hautautui lumeen.	Todistus hautautui pöydälle paperien alle.			!=hautaantua		
					*CONCEPTS*													
	138			havahtua			Intransitive	—	HEAD:Noun + Case:Elative			Havahduin ajatuksistani.						
					*CONCEPTS*													
	139			havahtua			Intransitive	—	HEAD:Noun + Case:Illative			Havahduin siihen, että joku tuli huoneeseen.						
					*CONCEPTS*													
	147			havitella			Transitive	HEAD:Noun + Case:Partitive				Hän havittelee uutta virkaa.						
					*CONCEPTS*													
	148			heijastaa			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			Heijastan kuvan seinälle.						
					*CONCEPTS*													
	149		heijastus	heijastua			Intransitive	—	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			Valo heijastuu ikkunaan.						
					*CONCEPTS*													
	150			heijastua			Intransitive	—	HEAD:Noun + Case:Elative / HEAD:Noun + Case:Ablative			Valo heijastuu ikkunasta.	Ikkunasta heijastui valoa.  //  Tytön kasvoilta heijastui ilo.					
					*CONCEPTS*													
	151		heilautus	heilauttaa			Transitive	HEAD:Noun + Case:Partitive				Tyttö heilauttaa hiuksiaan.				possessive ending to object		
					*CONCEPTS*													
	152		heilutus	heiluttaa			Transitive	HEAD:Noun + Case:Partitive				Tuuli heiluttaa puuta.						
					*CONCEPTS*													
	153			helliä			Transitive	HEAD:Noun + Case:Partitive				Hän hellii kissaa sylissään.						
					*CONCEPTS*													
	154			helpottaa			Transitive	HEAD:Noun + Case:Partitive				Lääke helpottaa kipua.						
					*CONCEPTS*													
	155			helpottaa			Intransitive	—	POS:Verb + INF_FORM:Inf-Ma + Case:Illative			Kuva helpottaa ymmärtämään asiaa.						
					*CONCEPTS*													
	156			hemmotella			Transitive	HEAD:Noun + Case:Partitive				Hän hemmottelee poikaa.	Kummitäti hemmottelee poikaa suklaalla ja lahjoilla.					
					*CONCEPTS*													
	160			hermostua			Intransitive	—	HEAD:Noun + Case:Elative			hermostua turhasta	Mistä hermostuit?					
					*CONCEPTS*													
	161			hermostua			Intransitive	—	HEAD:Noun + Case:Illative			Hän hermostui lapseen, joka kyseli koko ajan.						
					*CONCEPTS*													
	162			hermostuttaa			Transitive	HEAD:Noun + Case:Partitive				Sinä hermostutat minua.	Hermostutat minua.					
					*CONCEPTS*			Syntax-tunnekausatiivi-object										
	163			hermostuttaa			Transitive	HEAD:Noun + Case:Partitive	Subject=POS:Verb + INF_FORM:Inf-A + Case:Lative			Minua hermostuttaa lähteä.	Minua hermostutti kuunnella häntä aamusta iltaan.					
					*CONCEPTS*			Syntax-tunnekausatiivi-object										
	158			herättää			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			Minä herätän sinut kouluun.  //  Minä herätän sinut kurssille.						
					*CONCEPTS*													
	159		herätys	herättää			Transitive	HEAD:Noun + Case:Objective	POS:Verb + INF_FORM:Inf-Ma + Case:Illative			Minä herätän lapsen syömään.	Herätä minut syömään parin tunnin kuluttua.					
					*CONCEPTS*													
	157			herätä			Intransitive	—	HEAD:Noun + Case:Illative			Heräsin kellonsoittoon.						
					*CONCEPTS*													
	164			hidastaa			Transitive	HEAD:Noun + Case:Partitive	—			Työ hidastaa opiskelua.	Auto hidastaa vauhtia risteyksessä.					
					*CONCEPTS*													
	165			hikoilla			Intransitive	—	HEAD:Noun + Case:Elative			Hän hikoilee jännityksestä.						
					*CONCEPTS*													
	166			himoita			Transitive	HEAD:Noun + Case:Partitive				Hän himoitsee kaikkea: rahaa, rakkautta ja naapurin autoa.						
					*CONCEPTS*													
	167			himoita			Transitive	POS:Verb + INF_FORM:Inf-A + Case:Lative				Hän himoitsee päästä matkalle.						
					*CONCEPTS*													
	168			himottaa			Transitive	HEAD:Noun + Case:Partitive	Subject=POS:Verb + INF_FORM:Inf-A + Case:Lative			Minua himottaa syödä valkosipulia.						
					*CONCEPTS*			Syntax-tunnekausatiivi-object										
	169			hipaista			Transitive	HEAD:Noun + Case:Partitive				Hipaisin keittolevyä ja poltin sormeni.						
					*CONCEPTS*													
	170			hirvittää			Transitive	HEAD:Noun + Case:Partitive				Opiskelijaa hirvitti tentti.						
					*CONCEPTS*			Syntax-tunnekausatiivi-object										
	171			hirvittää			Transitive	HEAD:Noun + Case:Partitive	Subject=POS:Verb + INF_FORM:Inf-A + Case:Lative			Minua hirvittää lähteä ulos tuollaisella ilmalla.						
					*CONCEPTS*			Syntax-tunnekausatiivi-object										
	172		hokema	hokea			Transitive	HEAD:Noun + Case:Partitive				Hän hokee samaa asiaa aamusta iltaan.						
					*CONCEPTS*													
	173			hokea			Transitive	että-lause				Hän hoki itselleen, että ...						
					*CONCEPTS*													
	174			horjuttaa			Transitive	HEAD:Noun + Case:Partitive				Myrsky horjuttaa tornia.						
					*CONCEPTS*													
	175			houkutella			Transitive	HEAD:Noun + Case:Objective	HEAD:Noun + Case:Illative / HEAD:Noun + Case:Allative			Metsästäjä houkutteli saaliin ansaan.						
					*CONCEPTS*													
	176			houkutella			Transitive	HEAD:Noun + Case:Objective	POS:Verb + INF_FORM:Inf-Ma + Case:Illative			Hän houkutteli minut lähtemään ulos.						
					*CONCEPTS*													
	177			huijata			Transitive	HEAD:Noun + Case:Partitive				Hän huijasi minua autokaupassa.						
					*CONCEPTS*													
	178		huijaus	huijata			Transitive	HEAD:Noun + Case:Partitive	HEAD:Noun + Case:Inessive			Hän huijasi minua siinä asiassa.						
					*CONCEPTS*													
